seed_a,seed_b,d_l2
79008,79013,0.0025899255717076867
79008,79014,0.0016846606290166109
79008,79015,0.0032492268181316
79008,79016,0.002408338479133879
79008,79017,0.0020666219439791104
79008,79018,0.0023255402661204764
79008,79019,0.0034941499966741683
79009,79010,0.0011164756330162076
79009,79011,0.0007216203501014656
79009,79012,0.0011793324765088811
79009,79013,0.001435196221254631
79009,79014,0.002371039641987138
79009,79015,0.0007922616555133843
79009,79016,0.0015811303445190312
79009,79017,0.0019189830076893628
79009,79018,0.0016568991742020387
79009,79019,0.0005197844584170124
79010,79011,0.0008968524409859841
79010,79012,0.00038060247737661075
79010,79013,0.0009150418103503334
79010,79014,0.0013649437315437316
79010,79015,0.0003697940034408982
79010,79016,0.0006827027236337454
79010,79017,0.0009982368406067105
79010,79018,0.0008038766830699553
79010,79019,0.0006142275445275435
79011,79012,0.0007277405529072095
79011,79013,0.0007714582947136927
79011,79014,0.0018221159768013677
79011,79015,0.0005775356379534331
79011,79016,0.00104366249853764
79011,79017,0.0013494324507084248
79011,79018,0.0010807008739732893
79011,79019,0.0005064895117777083
79012,79013,0.0005401228088236234
79012,79014,0.001202221996041485
79012,79015,0.0004553766065918156
79012,79016,0.000414824324594474
79012,79017,0.0007586850908910476
79012,79018,0.0005221061407449031
79012,79019,0.0006827895470345484
79013,79014,0.0011550531704355772
79013,79015,0.0008793046754159499
79013,79016,0.0004929786555499799
79013,79017,0.0006776170527924844
79013,79018,0.0004601269915483821
79013,79019,0.0010331948555294085
79014,79015,0.001604525031919701
79014,79016,0.0008013975084973499
79014,79017,0.0004904787069766116
79014,79018,0.0007495484122669335
79014,79019,0.0018666453491770704
79015,79016,0.0008439113421048418
79015,79017,0.0011838479332426934
79015,79018,0.0009363807937068811
79015,79019,0.00027891148330326634
79016,79017,0.00034664252995289784
79016,79018,0.00014813442415372025
79016,79019,0.0010875929300555125
79017,79018,0.0002754516862295448
79017,79019,0.0014302399549033582
79018,79019,0.00117487428398774
