seed_a,seed_b,d_l2
72003,72004,0.020238032853423116
72003,72000,0.0014729601617460113
72003,72001,0.0018086255818396946
72003,72002,0.0015115086000888486
72003,72003,0.0007747254894223243
72003,72004,0.001145776837102313
72003,72000,0.016009658934483334
72003,72001,0.01607629576968811
72003,72002,0.015397898112212604
72003,72003,0.016308667489733277
72003,72004,0.015486336380666673
72004,72000,0.015118837163095039
72004,72001,0.0151789875926603
72004,72002,0.015723143238120824
72004,72003,0.015369560223606455
72004,72004,0.01464429258114031
72004,72000,0.04019650016059659
72004,72001,0.03733409476523294
72004,72002,0.034277747219218675
72004,72003,0.03888470407485343
72004,72004,0.04053823527785594
72004,72000,0.02605467754317976
72004,72001,0.024586968500776407
72004,72002,0.02533152877202595
72004,72003,0.024984119971317935
72004,72004,0.02427225675267463
72004,72000,0.0037909701232613315
72004,72001,0.005011368366562065
72004,72002,0.0035046708203762046
72004,72003,0.0048271334254741585
72004,72004,0.0037149150996851235
72004,72000,0.019204432210004393
72004,72001,0.018964645483665825
72004,72002,0.017732818533064455
72004,72003,0.01806842735708626
72004,72004,0.020256391775564292
72004,72000,0.001488216988257391
72004,72001,0.001824074731592712
72004,72002,0.0015270620879871796
72004,72003,0.0007915562668900252
72004,72004,0.0011615861966209463
72004,72000,0.016027352259678086
72004,72001,0.01609389758639626
72004,72002,0.01541546046716764
72004,72003,0.016326260354093913
72004,72004,0.015503953651504889
72000,72001,0.00011439749772016975
72000,72002,0.0006144872741158902
72000,72003,0.00027840033347268956
72000,72004,0.00047802965231401074
72000,72000,0.03258156756298057
72000,72001,0.030066263212086115
72000,72002,0.026704905669881245
72000,72003,0.031200797219516983
72000,72004,0.03278787167490273
72000,72000,0.01750793087368905
72000,72001,0.01636293383181787
72000,72002,0.01668010450247988
72000,72003,0.01623990867114487
72000,72004,0.015573358058214042
72000,72000,0.012243744769218773
72000,72001,0.011219364629964632
72000,72002,0.012404827873394673
72000,72003,0.011562315608697358
72000,72004,0.012481679741899393
72000,72000,0.008879945649480603
72000,72001,0.008617800853260745
72000,72002,0.007901623850946997
72000,72003,0.007988696667103638
72000,72004,0.01001613832115853
72000,72000,0.014185692477859982
72000,72001,0.013926288273425763
72000,72002,0.01413292729725793
72000,72003,0.014528783075229852
72000,72004,0.014317111945836054
72000,72000,0.0034074580320241354
72000,72001,0.0034541733407573256
72000,72002,0.003290507854688074
72000,72003,0.0038598752703854398
72000,72004,0.003175758043253765
72001,72002,0.0005461630010202957
72001,72003,0.00021040707149548254
72001,72004,0.0005382280869407841
72001,72000,0.03252974144849295
72001,72001,0.03001625193140614
72001,72002,0.026656297813222596
72001,72003,0.031149796958919913
72001,72004,0.03273603542266076
72001,72000,0.017463026266943574
72001,72001,0.01632123092030575
72001,72002,0.01663546660308773
72001,72003,0.016196746329310882
72001,72004,0.01553124435846517
72001,72000,0.012302213901145508
72001,72001,0.011279425902040232
72001,72002,0.012464085445908876
72001,72003,0.011619435975123459
72001,72004,0.012538365404613786
72001,72000,0.008839035470491705
72001,72001,0.008577640927085784
72001,72002,0.00786820714735061
72001,72003,0.007952748978132355
72001,72004,0.009972685306160842
72001,72000,0.014243360946900017
72001,72001,0.013983833832692477
72001,72002,0.014190779621677614
72001,72003,0.014588618915359291
72001,72004,0.014376026718377746
72001,72000,0.0033709534944675085
72001,72001,0.00341635746596818
