seed_a,seed_b,d_l2
75004,75001,0.002708673401582166
75004,75002,0.002449312469373625
75004,75003,0.0030154728142618797
75004,75004,0.0020440292808081803
75004,75000,0.003438806700905075
75004,75001,0.0037639267887838914
75004,75002,0.0034236288845294473
75004,75003,0.0032776308995590255
75004,75004,0.004636136688868337
75000,75001,0.001541113383857564
75000,75002,0.0009057735789440146
75000,75003,0.0004104214625978031
75000,75004,0.000691952126692607
75000,75000,0.0011717657814298943
75000,75001,0.0009065753383460101
75000,75002,0.0006871111015757152
75000,75003,0.0012605002507685805
75000,75004,0.0002948509427104905
75000,75000,0.0016684666619457586
75000,75001,0.002067593393951233
75000,75002,0.0016396156200652787
75000,75003,0.001464330567888242
75000,75004,0.002947447480443406
75001,75002,0.0022653321689474156
75001,75003,0.0017456496476253589
75001,75004,0.0008934039798404348
75001,75000,0.0026657834857291974
75001,75001,0.002300441946499702
75001,75002,0.002151232621153338
75001,75003,0.0027076206743356294
75001,75004,0.0016773664317121099
75001,75000,0.0031479134748326693
75001,75001,0.0035061642918539156
75001,75002,0.003100047193978365
75001,75003,0.002982875321833148
75001,75004,0.0044039380703021205
75002,75003,0.0006692670919342086
75002,75004,0.001523167525886946
75002,75000,0.0006724276359227931
75002,75001,0.0009901296989806786
75002,75002,0.0003822981846959289
75002,75003,0.0006669542317801683
75002,75004,0.0008230402281358464
75002,75000,0.001013314705204376
75002,75001,0.0013030855283052143
75002,75002,0.0010666497356085537
75002,75003,0.0009037016791526048
75002,75004,0.0021605661874751878
75003,75004,0.0009393781334263147
75003,75000,0.0009312249335440066
75003,75001,0.0007257128752729833
75003,75002,0.0004339216722248206
75003,75003,0.0009650368737720749
75003,75004,0.00019956024322455353
75003,75000,0.0014045457204789169
75003,75001,0.0017780991752931353
75003,75002,0.0013589467683701533
75003,75003,0.001259888439006248
75003,75004,0.002681371885449642
75004,75000,0.0018241352082208945
75004,75001,0.0014307530307686436
75004,75002,0.001335245007266524
75004,75003,0.0018901768566746918
75004,75004,0.0008265613813367332
75004,75000,0.0023173126586785537
75004,75001,0.002707622343508747
75004,75002,0.0022634481658906276
75004,75003,0.002133293505259634
75004,75004,0.003605716501256377
75000,75001,0.0006572589146252534
75000,75002,0.0005368570526752349
75000,75003,0.00020910210493714254
75000,75004,0.0010038994090522284
75000,75000,0.0005158522430404828
75000,75001,0.0009459133212494855
75000,75002,0.0004937232153243884
75000,75003,0.0003546484231566244
75000,75004,0.001813964822168643
75001,75002,0.0006343317672510791
75001,75003,0.0007503075797459354
75001,75004,0.0006837640212025296
75001,75000,0.0010877393419353194
75001,75001,0.0015238718874016823
75001,75002,0.0009655027059247555
75001,75003,0.0009285399804267446
75001,75004,0.002388421490494313
75002,75003,0.0005904400490017709
75002,75004,0.0005404858131442528
75002,75000,0.0010089168259746508
75002,75001,0.0013911576112676366
75002,75002,0.0009976538968691226
75002,75003,0.0008499314602790359
75002,75004,0.002278062131591757
75003,75004,0.0010680297844093208
75003,75000,0.00046187708292504007
75003,75001,0.0008440406256288469
75003,75002,0.000429860147703914
75003,75003,0.00043895578210969324
75003,75004,0.0017411452790325691
75004,75000,0.0014965943000260714
75004,75001,0.0018952026868910982
75004,75002,0.001440232717204496
75004,75003,0.0013249910568828797
75004,75004,0.002793770167525092
75000,75001,0.00046017843203602474
75000,75002,0.00022913568447070607
75000,75003,0.00031604588280133907
75000,75004,0.0013167332579469484
75001,75002,0.0005884664247697089
75001,75003,0.0007412650912374567
75001,75004,0.0009166522985602421
75002,75003,0.0004032017374550633
75002,75004,0.0014332805294697637
75003,75004,0.0015374930121567212
